area_type,location,bath,price,bhk,area,price_per_sqft
Super built-up  Area, Devarabeesana Halli,3.0,150.0,3,1672.0,8971.291866028709
Built-up  Area, Devarabeesana Halli,3.0,149.0,3,1750.0,8514.285714285714
Super built-up  Area, Devarabeesana Halli,3.0,150.0,3,1750.0,8571.42857142857
Super built-up  Area, Devarachikkanahalli,2.0,44.0,3,1250.0,3520.0
Super built-up  Area, Devarachikkanahalli,2.0,40.0,2,1250.0,3200.0
Plot  Area, Devarachikkanahalli,2.0,83.0,2,1200.0,6916.666666666667
Super built-up  Area, Devarachikkanahalli,2.0,40.0,2,1170.0,3418.803418803419
Super built-up  Area, Devarachikkanahalli,2.0,65.0,3,1425.0,4561.403508771929
Super built-up  Area, Devarachikkanahalli,2.0,43.0,2,947.0,4540.654699049631
Super built-up  Area, Devarachikkanahalli,2.0,36.0,2,1130.0,3185.8407079646017
Super built-up  Area, Devarachikkanahalli,2.0,76.0,3,1417.0,5363.443895553987
Super built-up  Area, Devarachikkanahalli,2.0,58.0,2,1230.0,4715.447154471544
Super built-up  Area, Devarachikkanahalli,3.0,75.0,3,1705.0,4398.826979472141
Built-up  Area, Devarachikkanahalli,2.0,47.0,2,1116.0,4211.469534050179
Super built-up  Area, Devarachikkanahalli,2.0,40.0,2,991.0,4036.326942482341
Super built-up  Area, Devarachikkanahalli,3.0,71.0,3,1700.0,4176.470588235294
Built-up  Area, Electronic City,1.0,27.0,1,550.0,4909.090909090909
Super built-up  Area, Mysore Highway,2.0,70.0,3,1450.0,4827.586206896552
Super built-up  Area, Mysore Highway,1.0,25.5,1,700.0,3642.8571428571427
Super built-up  Area, Thanisandra,1.0,25.25,1,510.0,4950.980392156863
Super built-up  Area, Thanisandra,1.0,25.25,1,510.0,4950.980392156863
Plot  Area, south,2.0,480.0,3,2400.0,20000.0
Super built-up  Area,1st Block BEL Layout,3.0,85.0,3,1540.0,5519.480519480519
Super built-up  Area,1st Block HBR Layout,1.0,45.0,1,600.0,7500.0
Built-up  Area,1st Block HBR Layout,4.0,150.0,4,3150.0,4761.9047619047615
